id,latitude,longitude,time,direction,measurement
4, 52.092970, 5.113132, 2018-03-15T13:00:00, 79.36446, 785
4, 52.092970, 5.113132, 2018-03-15T13:00:00, 259.3645, 805
4, 52.092970, 5.113132, 2018-03-15T14:00:00, 79.36446, 748
4, 52.092970, 5.113132, 2018-03-15T14:00:00, 259.3645, 806
4, 52.092970, 5.113132, 2018-03-15T15:00:00, 79.36446, 803
4, 52.092970, 5.113132, 2018-03-15T15:00:00, 259.3645, 949
4, 52.092970, 5.113132, 2018-03-15T16:00:00, 79.36446, 1080
4, 52.092970, 5.113132, 2018-03-15T16:00:00, 259.3645, 1209
4, 52.092970, 5.113132, 2018-03-15T17:00:00, 79.36446, 1752
4, 52.092970, 5.113132, 2018-03-15T17:00:00, 259.3645, 1826
4, 52.092970, 5.113132, 2018-03-15T18:00:00, 79.36446, 1800
4, 52.092970, 5.113132, 2018-03-15T18:00:00, 259.3645, 1275
4, 52.092970, 5.113132, 2018-03-15T19:00:00, 79.36446, 1144
4, 52.092970, 5.113132, 2018-03-15T19:00:00, 259.3645, 822
4, 52.092970, 5.113132, 2018-03-15T20:00:00, 79.36446, 756
4, 52.092970, 5.113132, 2018-03-15T20:00:00, 259.3645, 685
4, 52.092970, 5.113132, 2018-03-15T21:00:00, 79.36446, 582
4, 52.092970, 5.113132, 2018-03-15T21:00:00, 259.3645, 716
4, 52.092970, 5.113132, 2018-03-15T22:00:00, 79.36446, 540
4, 52.092970, 5.113132, 2018-03-15T22:00:00, 259.3645, 663
4, 52.092970, 5.113132, 2018-03-15T23:00:00, 79.36446, 471
4, 52.092970, 5.113132, 2018-03-15T23:00:00, 259.3645, 470
5, 52.095654, 5.108934, 2018-03-15T00:00:00, 145.1671, 50
5, 52.095654, 5.108934, 2018-03-15T00:00:00, 312.7548, 172
5, 52.095654, 5.108934, 2018-03-15T01:00:00, 145.1671, 16
5, 52.095654, 5.108934, 2018-03-15T01:00:00, 312.7548, 58
5, 52.095654, 5.108934, 2018-03-15T02:00:00, 145.1671, 8
5, 52.095654, 5.108934, 2018-03-15T02:00:00, 312.7548, 52
5, 52.095654, 5.108934, 2018-03-15T03:00:00, 145.1671, 13
5, 52.095654, 5.108934, 2018-03-15T03:00:00, 312.7548, 19
5, 52.095654, 5.108934, 2018-03-15T04:00:00, 145.1671, 12
5, 52.095654, 5.108934, 2018-03-15T04:00:00, 312.7548, 16
5, 52.095654, 5.108934, 2018-03-15T05:00:00, 145.1671, 59
5, 52.095654, 5.108934, 2018-03-15T05:00:00, 312.7548, 22
5, 52.095654, 5.108934, 2018-03-15T06:00:00, 145.1671, 291
5, 52.095654, 5.108934, 2018-03-15T06:00:00, 312.7548, 53
5, 52.095654, 5.108934, 2018-03-15T07:00:00, 145.1671, 1207
5, 52.095654, 5.108934, 2018-03-15T07:00:00, 312.7548, 178
5, 52.095654, 5.108934, 2018-03-15T08:00:00, 145.1671, 1657
5, 52.095654, 5.108934, 2018-03-15T08:00:00, 312.7548, 497
5, 52.095654, 5.108934, 2018-03-15T09:00:00, 145.1671, 699
5, 52.095654, 5.108934, 2018-03-15T09:00:00, 312.7548, 260
5, 52.095654, 5.108934, 2018-03-15T10:00:00, 145.1671, 432
5, 52.095654, 5.108934, 2018-03-15T10:00:00, 312.7548, 228
5, 52.095654, 5.108934, 2018-03-15T11:00:00, 145.1671, 398
5, 52.095654, 5.108934, 2018-03-15T11:00:00, 312.7548, 244
5, 52.095654, 5.108934, 2018-03-15T12:00:00, 145.1671, 409
5, 52.095654, 5.108934, 2018-03-15T12:00:00, 312.7548, 358
5, 52.095654, 5.108934, 2018-03-15T13:00:00, 145.1671, 386
5, 52.095654, 5.108934, 2018-03-15T13:00:00, 312.7548, 373
5, 52.095654, 5.108934, 2018-03-15T14:00:00, 145.1671, 453
5, 52.095654, 5.108934, 2018-03-15T14:00:00, 312.7548, 450
5, 52.095654, 5.108934, 2018-03-15T15:00:00, 145.1671, 425
5, 52.095654, 5.108934, 2018-03-15T15:00:00, 312.7548, 562
5, 52.095654, 5.108934, 2018-03-15T16:00:00, 145.1671, 458
5, 52.095654, 5.108934, 2018-03-15T16:00:00, 312.7548, 745
5, 52.095654, 5.108934, 2018-03-15T17:00:00, 145.1671, 603
5, 52.095654, 5.108934, 2018-03-15T17:00:00, 312.7548, 1099
5, 52.095654, 5.108934, 2018-03-15T18:00:00, 145.1671, 558
5, 52.095654, 5.108934, 2018-03-15T18:00:00, 312.7548, 1011
5, 52.095654, 5.108934, 2018-03-15T19:00:00, 145.1671, 459
5, 52.095654, 5.108934, 2018-03-15T19:00:00, 312.7548, 665
5, 52.095654, 5.108934, 2018-03-15T20:00:00, 145.1671, 311
5, 52.095654, 5.108934, 2018-03-15T20:00:00, 312.7548, 456
5, 52.095654, 5.108934, 2018-03-15T21:00:00, 145.1671, 264
